,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Count_Fullstops,Count_Exclamation,Count_Comma,Count_Questionmark,Count_Hyphens,Capitalization_Errors,Grammar_Error_Count,,Punctuation_Errors,,Grammar_Error_List,Number_of_Connectors,Connectivity_Index
0,16,386,1875,3.984455959,55,74,18,14,15,48,10,4,18,2,1,2,2,,1,,"['CAUSE_BECAUSE', 'BE_VBP_IN']",41,24.5527869
1,20,464,2288,4.030172414,71,97,19,18,19,49,18,1,12,1,0,0,4,,6,,"['ON_COMPOUNDS', 'NODT_DOZEN', 'YOU_HAV', 'DT_DT']",52,25.34423235
2,14,313,1541,4.03514377,42,69,17,16,11,25,14,0,9,0,0,1,5,,4,,"['THE_SUPERLATIVE', 'PHRASE_REPETITION', 'ITS_TO_IT_S', 'SO_CALLED_HYPHEN', 'AGREEMENT_SENT_START']",35,14.66285016
3,27,611,3165,4.328968903,71,126,39,17,21,33,24,2,13,1,0,1,0,,2,,[],60,32.40832323
4,30,517,2569,4.071566731,61,107,30,15,34,41,30,0,13,0,0,1,1,,2,,['ARN_T'],58,27.82480378
5,15,274,1276,3.762773723,42,37,9,9,18,41,12,1,3,2,0,1,3,,2,,"['BEEN_PART_AGREEMENT', 'PRP_PAST_PART', 'PRP_THE']",32,14.5824788
6,30,580,2808,3.982758621,69,115,23,16,34,73,26,0,35,4,0,0,1,,0,,['PROGRESSIVE_VERBS'],60,34.2769389
7,39,556,2724,4.037769784,88,120,35,20,26,59,35,1,11,3,0,1,0,,5,,[],65,10.64575411
8,35,512,2402,3.833984375,70,95,31,22,30,56,28,1,16,6,0,1,4,,3,,"['DOSNT', 'SINGULAR_VERB_AFTER_THESE_OR_THOSE', 'SINGULAR_VERB_AFTER_THESE_OR_THOSE', 'MD_BASEFORM']",56,21.79156587
9,26,561,2632,3.798573975,77,93,37,26,31,67,24,0,14,2,0,1,4,,5,,"['CYBER_COMPOUNDS', 'TOO_ADJECTIVE_TO', 'PRONOUN_NOUN', 'HE_VERB_AGR']",82,40.38740567
10,22,373,1963,4.394101877,48,73,29,9,18,33,20,1,13,1,1,1,0,,1,,[],36,12.46974977
11,25,435,2182,4.117241379,58,88,31,13,30,33,25,0,0,0,0,2,4,,7,,"['AS_ADJ_AS', 'ARN_T', 'ARN_T', 'THE_SUPERLATIVE']",63,33.31626285
12,6,211,1007,3.81042654,32,40,13,12,6,33,6,0,0,0,0,6,2,,1,,"['MD_BE_NON_VBP', 'WRITER_COMPOUNDS']",25,14.9807407
13,25,332,1618,3.948795181,40,86,27,17,11,35,25,0,0,0,0,2,15,,0,,"['NEWS_COMPOUNDS', 'THIS_NNS', 'PLURAL_VERB_AFTER_THIS', 'NEWS_COMPOUNDS', 'BEEN_PART_AGREEMENT', 'PHRASE_REPETITION', 'PHRASE_REPETITION', 'THIS_NNS', 'PLURAL_VERB_AFTER_THIS', 'PRP_JJ', 'THIS_NNS', 'PLURAL_VERB_AFTER_THIS', 'NEWS_COMPOUNDS', 'THIS_NNS', 'PLURAL_VERB_AFTER_THIS']",46,6.516833275
14,13,197,991,4.14213198,27,46,13,8,11,18,13,0,7,0,0,0,2,,0,,"['WORLDS_BEST', 'THE_SUPERLATIVE']",27,13.12334303
15,35,605,3168,4.368595041,90,139,38,20,16,41,34,0,23,1,0,1,0,,0,,[],65,18.32305572
16,18,385,1804,3.818181818,55,64,15,14,15,61,17,0,18,1,0,0,4,,0,,"['BELIVE_BELIEVE', 'BELIVE_BELIEVE', 'BELIVE_BELIEVE', 'BELIVE_BELIEVE']",41,27.19454616
17,15,420,1959,3.795238095,65,60,20,24,33,58,15,0,26,0,0,0,2,,3,,"['CAUSE_BECAUSE', 'MOST_COMPARATIVE']",55,31.51531352
18,7,72,362,4.125,8,9,6,1,0,4,6,0,0,0,0,13,0,,0,,[],5,2.161187086
19,11,181,868,3.939226519,23,43,12,8,5,15,10,2,3,0,0,1,2,,2,,"['AGREEMENT_SENT_START', 'BUNCH_OF']",19,10.75513186
20,20,405,2049,4.155555556,57,63,28,11,31,44,19,0,14,1,0,5,1,,0,,['TWITTER'],53,31.06497415
21,2,59,317,4.440677966,10,14,3,3,0,7,2,0,0,0,0,0,0,,0,,[],10,6.693147181
22,30,593,2878,3.976391231,82,101,30,30,24,74,28,0,11,2,0,2,4,,3,,"['A_TO', 'ALLOW_TO_DO', 'IT_VBZ', 'THERE_S_MANY']",73,33.32410384
23,39,673,3216,3.959881129,92,129,41,18,36,65,28,10,42,1,0,3,1,,1,,['HE_VERB_AGR'],70,21.43066846
24,16,325,1673,4.249230769,56,67,15,14,15,25,16,0,10,0,0,0,0,,0,,[],39,16.39393297
25,22,429,2004,3.843822844,61,69,24,22,13,54,12,8,23,2,0,0,1,,1,,['HAD_VBP'],43,13.20771621
26,7,142,650,3.73943662,15,27,7,4,4,18,7,0,6,0,0,2,2,,3,,"['MISSING_TO_BEFORE_A_VERB', 'THE_ARE']",19,13.91556108
27,28,407,2046,4.144963145,64,81,29,15,22,41,26,2,16,0,0,1,3,,2,,"['AGREEMENT_SENT_START', 'BUNCH_OF', 'MICROSOFT_PRODUCTS']",48,16.86253823
28,23,432,2062,3.916666667,50,83,23,15,17,52,20,2,22,1,0,0,0,,0,,[],49,23.02761607
29,15,285,1421,4.087719298,51,56,19,12,12,34,15,0,6,0,0,0,1,,0,,['MISSING_TO_BEFORE_A_VERB'],39,11.71537755
30,34,574,2603,3.728222997,72,95,32,21,45,79,27,3,30,4,0,1,1,,2,,['HAND_COMPOUNDS'],56,17.9621853
31,36,588,2768,3.879251701,78,104,22,25,38,63,29,3,26,4,0,2,1,,4,,['CC_NNP_VBP'],70,17.66499011
32,12,191,917,3.931937173,22,42,18,7,9,17,12,0,7,0,0,1,0,,1,,[],23,10.91300858
33,26,416,1878,3.646634615,62,87,18,16,18,40,25,1,15,0,0,2,2,,1,,"['DON_T_AREN_T', 'CC_NNP_VBP']",40,25.86752921
34,33,473,2283,3.955602537,78,79,27,9,27,60,29,1,22,3,0,0,3,,0,,"['A_NNS', 'HAVE_TWITTER', 'PRP_VB']",48,11.92377307
35,24,637,3015,3.886970173,74,83,46,16,26,80,16,4,35,4,0,0,1,,1,,['BEEN_PART_AGREEMENT'],60,33.04849659
36,31,554,2654,3.911552347,69,106,39,18,31,65,27,2,25,2,0,1,2,,2,,"['THOUGH_THOUGHT', 'GOOD_GOOF']",54,15.46999149
37,17,379,1868,4.005277045,53,70,23,8,15,44,17,0,7,0,0,0,1,,2,,['AGREEMENT_SENT_START'],45,19.77912917
38,22,480,2387,4.047916667,80,97,24,27,28,49,21,1,7,0,0,0,2,,0,,"['PEOPLE_VBZ', 'RELATIVE_CLAUSE_AGREEMENT']",69,47.11366868
39,15,215,1022,3.874418605,31,52,11,5,1,29,15,0,3,0,0,2,3,,0,,"['IT_VBZ', 'A_INFINITIVE', 'BELIVE_BELIEVE']",21,5.982630434
40,3,44,220,4.090909091,7,12,2,1,1,3,3,0,0,0,0,0,0,,0,,[],7,5.530557911
41,14,304,1482,3.950657895,29,56,19,13,19,45,14,0,0,0,0,0,2,,3,,"['EYE_COMPOUNDS', 'MD_BASEFORM']",32,12.80071727
42,8,155,776,4.109677419,24,33,6,6,4,17,8,0,2,0,0,0,0,,1,,[],18,6.750126201
43,28,358,1636,3.698324022,48,83,20,4,14,26,28,0,5,0,0,1,3,,0,,"['HE_VERB_AGR', 'HE_VERB_AGR', 'HE_VERB_AGR']",37,15.41105798
44,20,371,1710,3.74393531,41,79,15,23,21,33,17,0,14,3,0,0,5,,2,,"['PRP_VB', 'SINGULAR_AGREEMENT_SENT_START', 'HAVE_PART_AGREEMENT', 'PRP_HAVE_VB', 'TWITTER']",52,15.35019711
45,11,325,1630,4.101538462,60,62,18,9,8,57,11,0,6,0,0,1,3,,4,,"['THIS_NNS', 'IT_VBZ', 'MOST_COMPARATIVE']",30,12.85682927
46,18,341,1643,3.900293255,46,83,16,14,23,28,16,2,6,0,0,0,1,,1,,['NEWS_COMPOUNDS'],56,40.16885866
47,33,626,2852,3.691693291,72,109,30,16,42,64,28,0,22,5,0,1,2,,0,,"['DT_JJ_NO_NOUN', 'HE_VERB_AGR']",72,26.86346532
48,27,350,1803,4.254285714,43,70,23,7,18,46,25,0,6,2,0,0,3,,0,,"['AGREEMENT_SENT_START', 'MOST_SUPERLATIVE', 'HAVE_PART_AGREEMENT']",36,9.726485926
49,4,87,472,4.482758621,11,21,8,3,5,6,3,0,1,0,0,0,0,,0,,[],9,5.223282578
50,13,603,2791,3.683250415,87,70,32,39,41,101,12,0,5,0,0,2,4,,13,,"['GOOGLE_PRODUCTS', 'ON_COMPOUNDS', 'THERE_IS_A_LOT_OF', 'BEEN_PART_AGREEMENT']",88,58.03091014
51,15,263,1323,4.117870722,38,55,18,6,13,36,15,0,3,0,0,1,3,,0,,"['EYE_COMPOUNDS', 'THERE_IS_A_LOT_OF', 'THIS_NNS']",34,28.41139536
52,27,487,2214,3.685831622,64,84,11,12,29,73,27,0,21,0,0,1,2,,3,,"['OVER_COMPOUNDS', 'NONE_THE_LESS']",62,46.22507133
53,30,487,2300,3.876796715,64,106,23,16,22,56,27,2,26,1,0,4,2,,3,,"['HAVNT', 'GOOGLE_PRODUCTS']",37,20.18721541
