,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Count_Fullstops,Count_Exclamation,Count_Comma,Count_Questionmark,Count_Hyphens,Capitalization_Errors,Grammar_Error_Count,Punctuation_Errors,Connectivity_Index,Semantic_Similarity,Flesch_Reading_Ease_Score,Flesh_Kincaid_Grade,Dale_Challl_Readability_Score,Lexical_Diversity,Lexical_Density,Lexical_Originality,Total Score
0,16,386,1875,3.984455959,55,74,18,14,15,48,10,4,18,2,1,2,2,1,24.5527869,0.291842848,86.78957578,5.484288991,6.551182902,0.370466321,224,0.000192073,8
1,20,464,2288,4.030172414,71,97,19,18,19,49,18,1,12,1,0,0,4,6,25.34423235,0.386931151,79.90725862,5.12293739,6.726939828,0.342672414,273,0.000213563,9
2,14,313,1541,4.03514377,42,69,17,16,11,25,14,0,9,0,0,1,5,4,14.66285016,0.419206351,80.08179712,4.728246753,7.015542081,0.418530351,180,0.000175955,7
3,27,611,3165,4.328968903,71,126,39,17,21,33,24,2,13,1,0,1,0,2,32.40832323,0.33802551,84.86592593,4.821414141,7.214003279,0.301145663,306,0.000247142,10
4,30,517,2569,4.071566731,61,107,30,15,34,41,30,0,13,0,0,1,1,2,27.82480378,0.344825298,81.83407576,2.236540335,6.354310084,0.324951644,288,0.000225652,8
5,15,274,1276,3.762773723,42,37,9,9,18,41,12,1,3,2,0,1,3,2,14.5824788,0.214807242,93.19652311,2.915402597,6.444241995,0.375912409,156,0.000138346,8
6,30,580,2808,3.982758621,69,115,23,16,34,73,26,0,35,4,0,0,1,0,34.2769389,0.337401718,84.81649425,3.285287749,6.392226437,0.336206897,330,0.000261917,10
7,39,556,2724,4.037769784,88,120,35,20,26,59,35,1,11,3,0,1,0,5,10.64575411,0.271331251,88.89711769,0.858235294,5.90557838,0.327338129,348,0.000244456,10
8,35,512,2402,3.833984375,70,95,31,22,30,56,28,1,16,6,0,1,4,3,21.79156587,0.278558016,93.17684375,1.176438605,6.212467768,0.369140625,304,0.000253858,9
9,26,561,2632,3.798573975,77,93,37,26,31,67,24,0,14,2,0,1,4,5,40.38740567,0.360071719,86.46062629,4.342519142,6.001439092,0.329768271,331,0.000248486,9
10,22,373,1963,4.394101877,48,73,29,9,18,33,20,1,13,1,1,1,0,1,12.46974977,0.290416181,79.85026505,2.083801653,8.118035267,0.482573727,210,0.00024177,8
11,25,435,2182,4.117241379,58,88,31,13,30,33,25,0,0,0,0,2,4,7,33.31626285,0.350952297,81.81951724,2.320113043,6.241884828,0.264367816,253,0.000154464,8
