,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Avg_Sentence_Length,Syllable_Count,Difficult_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Spelling_Mistakes_Count,Count_Fullstops,Count_Exclamation,Count_Comma,Count_Questionmark,Count_Hyphens,Capitalization_Errors,Grammar_Error_Count,Semantic_Similarity,Total Score_Domain1,Total Score_Domain2
0,19,537,2630,3.990689013,28.26315789,605,45,81,98,31,25,31,50,9,19,0,15,0,0,0,3,0.282008976,4,4
1,3,178,852,3.741573034,59.33333333,205,23,32,26,6,2,4,30,2,2,0,5,0,0,1,2,0.328471512,1,1
2,15,261,1158,3.563218391,17.4,268,19,44,37,13,8,11,40,12,10,0,12,4,0,0,2,0.342550009,2,3
3,31,524,2685,4.158396947,16.90322581,669,60,78,78,25,16,22,76,1,31,0,22,0,0,0,0,0.419970244,4,4
4,35,498,2373,3.819277108,14.22857143,555,50,75,90,24,21,22,59,11,33,0,25,1,0,3,1,0.232807487,4,4
5,25,379,1761,3.746701847,15.16,403,38,45,67,21,12,13,49,4,24,0,17,0,0,1,0,0.26132223,4,3
6,25,608,3055,4.133223684,24.32,742,96,67,106,38,18,19,48,4,19,0,32,5,0,0,4,0.386003524,5,4
7,36,853,4030,3.764361079,23.69444444,958,61,106,141,30,16,67,113,21,34,0,21,1,0,1,10,0.345844924,2,2
8,19,374,1926,4.21657754,19.68421053,477,58,40,63,31,8,12,33,2,18,0,20,0,0,0,0,0.343261242,4,4
9,24,433,2031,3.796766744,18.04166667,492,45,61,66,15,13,21,59,7,19,1,21,3,0,0,0,0.366923451,4,4
10,17,374,1723,3.663101604,22,410,26,45,56,16,16,19,48,12,14,0,13,2,0,0,1,0.331193805,3,3
11,18,349,1700,3.94269341,19.38888889,433,49,59,62,15,13,17,43,6,17,0,14,0,0,0,0,0.288854986,3,3
12,29,548,2737,4.02189781,18.89655172,634,77,69,79,27,13,25,60,4,27,1,14,0,0,0,0,0.364381075,5,4
13,12,363,1725,3.798898072,30.25,404,29,50,62,17,14,16,46,6,12,0,13,0,0,0,0,0.366663486,3,4
14,5,107,567,4.280373832,21.4,140,20,16,20,5,1,2,12,4,4,0,5,0,0,0,0,0.561605453,3,2
15,17,394,1952,4.012690355,23.17647059,446,52,58,63,33,11,18,45,5,14,0,13,3,0,1,1,0.348101348,3,3
16,39,733,3476,3.803547067,18.79487179,812,48,90,122,29,40,33,96,6,39,0,12,0,0,2,3,0.311074883,4,4
17,13,373,1850,4.048257373,28.69230769,449,39,60,57,17,17,16,48,7,10,0,28,2,0,0,1,0.314280212,3,3
18,5,204,917,3.774509804,40.8,165,17,20,19,6,6,8,15,2,5,0,21,0,0,0,1,0.437760323,1,2
