,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Grammar_Error_Count
0,3,102,488,3.901960784,18,26,1,2,3,16,0
1,3,105,459,3.476190476,16,20,2,5,4,13,0
2,1,171,770,3.578947368,27,28,8,10,7,25,0
3,13,271,1124,3.350553506,41,39,11,6,14,40,1
4,12,181,809,3.640883978,25,20,9,2,22,25,0
5,33,458,1910,3.436681223,61,61,14,20,30,49,0
6,11,187,814,3.438502674,24,18,10,8,20,29,0
7,7,146,670,3.732876712,17,18,6,3,5,24,0
8,6,381,1743,3.619422572,49,69,12,17,22,74,1
9,9,104,430,3.298076923,9,14,11,3,5,12,0
10,9,203,830,3.226600985,40,15,9,8,19,34,0
11,9,143,604,3.41958042,16,23,12,4,5,12,0
12,11,218,912,3.325688073,22,30,15,9,11,30,3
13,10,184,786,3.380434783,23,33,4,9,9,25,4
14,4,192,837,3.5,29,22,12,16,15,25,1
15,13,208,828,3.168269231,26,28,11,12,6,29,0
16,17,268,1164,3.5,34,42,6,14,12,28,3
17,8,109,514,3.871559633,15,19,11,5,4,7,0
18,12,210,883,3.333333333,37,25,6,10,12,44,0
19,12,154,647,3.305194805,21,24,5,2,3,25,0
20,9,178,745,3.325842697,23,26,8,5,8,23,0
21,16,213,968,3.629107981,30,36,12,8,11,24,1
22,11,211,916,3.464454976,22,32,10,7,17,28,1
23,13,218,991,3.688073394,27,31,22,12,8,44,1
24,5,147,657,3.517006803,28,15,5,2,9,26,0
25,9,112,519,3.723214286,24,12,6,4,4,27,3
26,4,59,276,3.813559322,7,9,5,1,1,8,1
27,4,117,485,3.256410256,13,22,4,7,5,15,1
28,15,362,1460,3.314917127,35,31,12,9,13,42,4
29,12,209,811,3.052631579,31,22,13,6,13,45,0
30,18,396,1709,3.482323232,48,56,14,22,22,70,1
31,10,127,620,4.007874016,12,20,11,3,6,16,1
32,2,168,692,3.363095238,22,23,9,4,10,10,1
33,29,487,2185,3.696098563,50,87,20,14,15,21,1
34,13,188,801,3.414893617,25,24,5,5,11,24,1
35,16,227,956,3.330396476,32,30,14,3,20,38,1
36,8,193,807,3.305699482,32,25,6,8,10,26,0
