,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Syllable_Count,Difficult_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Spelling_Mistakes_Count,Count_Fullstops,Count_Exclamation,Count_Comma,Count_Questionmark,Count_Hyphens,Capitalization_Errors,Semantic_Similarity,Connectivity_Index,Flesch_Reading_Ease_Score,Flesh_Kincaid_Grade,Avg_Sentence_Length,Dale_Challl_Readability_Score,Unique_Words_LD,Lexical_Diversity,Lexical_Density,Lexical_Originality,Total Score
0,39,835,3421,3.282634731,740,40,138,86,23,27,27,148,16,38,0,0,2,0,22,0.273416431,26.87964366,110.1287394,5.124864865,21.41025641,1.818355904,214,0.256287425,449,0.000422324,34
1,30,863,3963,3.687137891,942,79,125,129,48,32,63,135,6,29,0,33,1,0,0,0.282978678,66.07725444,85.29245326,7.466403397,28.76666667,6.508761197,267,0.309385863,532,0.000526918,46
2,39,969,4397,3.672858617,1095,92,132,159,54,34,51,142,5,39,0,37,0,0,2,0.286273031,106.2689777,86.01553465,5.802191781,24.84615385,6.368022998,285,0.294117647,572,0.000562441,40
3,30,765,3415,3.521568627,807,46,100,112,32,9,47,142,4,21,1,7,8,0,1,0.266539474,58.24018179,91.70779412,6.086873606,25.5,5.850764052,215,0.281045752,442,0.000424297,30
4,26,708,2943,3.247175141,659,29,117,66,19,30,56,148,14,21,1,3,5,0,2,0.270948463,42.16415731,100.450854,6.972389985,27.23076923,1.997411691,169,0.238700565,436,0.000333518,26
5,72,1043,4051,3.267497603,674,52,127,97,26,7,37,99,6,55,13,35,9,0,7,0.265995149,20.53942535,137.4619903,6.321070722,14.48611111,1.505740258,194,0.186001918,393,0.000382854,40
6,82,1056,4429,3.434659091,954,97,134,123,49,32,57,144,7,74,3,38,5,0,6,0.266635612,30.48224044,117.3353714,2.008952293,12.87804878,5.725658416,306,0.289772727,539,0.000603884,40
7,17,315,1445,3.66031746,356,21,45,40,19,18,31,41,2,17,0,5,0,0,0,0.261565635,22.05988289,92.41621849,3.018070059,18.52941176,5.60822549,113,0.358730159,194,0.000223003,34
8,48,855,4007,3.825730994,983,99,114,125,61,33,57,119,12,46,0,37,2,0,0,0.254700535,30.5719009,91.49004934,2.660354145,17.8125,6.348315789,287,0.335672515,509,0.000566388,41
9,40,668,3007,3.702095808,648,60,78,79,33,19,56,77,7,31,4,30,5,0,1,0.243767406,20.62410405,107.8174341,2.892197531,16.7,5.883083473,217,0.324850299,342,0.000428244,40
10,18,493,2253,3.673427992,524,54,68,93,23,16,20,63,12,18,0,24,0,0,1,0.241248417,44.97868825,89.11560232,6.86524173,27.38888889,6.724522357,208,0.421906694,283,0.000410483,31
