,Grammar_Error_List
MORFOLOGIK_RULE_EN_US,14260
COMMA_COMPOUND_SENTENCE,1996
EN_CONTRACTION_SPELLING,1190
UPPERCASE_SENTENCE_START,888
SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,620
I_LOWERCASE,361
TO_TOO,338
EN_A_VS_AN,293
EN_COMPOUNDS,282
COMMA_PARENTHESIS_WHITESPACE,275
COMMA_COMPOUND_SENTENCE_2,248
IT_IS,244
HE_VERB_AGR,228
EVERYDAY_EVERY_DAY,217
ENGLISH_WORD_REPEAT_BEGINNING_RULE,214
ENGLISH_WORD_REPEAT_RULE,184
MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,172
EN_UNPAIRED_BRACKETS,163
SENTENCE_WHITESPACE,154
YOUR,144
AFFECT_EFFECT,144
YOUR_YOU_2,143
A_NNS,139
POSSESSIVE_APOSTROPHE,122
CANT,117
QUESTION_MARK,106
WONT_CONTRACTION,104
THERE_THEIR,104
INCORRECT_CONTRACTIONS,98
ITS_TO_IT_S,96
FIRST_OF_ALL,95
PRP_COMMA,94
MD_BASEFORM,91
LETS_LET,86
BEEN_PART_AGREEMENT,86
THEIR_IS,79
ANY_BODY,74
YOUTUBE,74
ALL_OF_THE,71
IT_VBZ,71
TWITTER,70
WITH_OUT,59
A_INFINITIVE,57
BELIVE_BELIEVE,57
DT_PRP,56
NUMEROUS_DIFFERENT,54
OUT_SIDE,52
IT_IS_2,51
HAVE_PART_AGREEMENT,49
REASON_IS_BECAUSE,48
AGREEMENT_SENT_START,48
PRP_VBG,47
MICROSOFT_PRODUCTS,47
PRP_VB,46
NOW_A_DAYS,44
TOMORROW_POSSESSIVE_APOSTROPHE,43
EXTREME_ADJECTIVES,43
EN_SPECIFIC_CASE,43
THE_SENT_END,42
THIS_NNS,40
PEOPLE_VBZ,39
ON_COMPOUNDS,39
SOME_OF_THE,39
NEWS_COMPOUNDS,38
NON3PRS_VERB,38
HOME_COMPOUNDS,36
PRP_THE,34
NODT_DOZEN,34
IN_A_X_MANNER,33
COMP_THAN,33
PLURAL_VERB_AFTER_THIS,33
COMPARISONS_THEN,32
PRP_REPITION,32
THE_THEY,32
PRP_MD_NN,32
CYBER_COMPOUNDS,32
GOOGLE_PRODUCTS,31
THE_SUPERLATIVE,30
WANT_TO_NN,30
MANY_NN,30
MISSING_TO_BEFORE_A_VERB,29
THERE_S_MANY,29
DOUBLE_PUNCTUATION,29
FEWER_LESS,29
WANNA,29
MASS_AGREEMENT,26
LOOSE_LOSE,26
IF_OF,25
HAND_COMPOUNDS,25
PRP_JJ,25
CAUSE_BECAUSE,25
ARN_T,25
WHETHER,24
LESS_MORE_THEN,24
VERB_APOSTROPHE_S,24
RECOMMENDED_COMPOUNDS,23
DOSNT,23
ON_SKYPE,23
PRP_PAST_PART,23
LITTLE_BIT,22
AN_AND,21
TO_NON_BASE,21
THE_PUNCT,21
OVER_COMPOUNDS,21
PRONOUN_NOUN,20
WHOLE_LOT,20
PHRASE_REPETITION,19
MOST_COMPARATIVE,19
DOUBLE_NEGATIVE,19
IF_WE_CANT_COMMA,18
EYE_COMPOUNDS,17
USE_TO_VERB,17
GONNA,17
MOST_EVERYONE,16
MUCH_COUNTABLE,16
ETC_PERIOD,16
SPURIOUS_APOSTROPHE,16
OUTSIDE_OF,16
YOU_THING,15
DOOR_COMPOUNDS,15
APOS_ARE,15
CC_NNP_VBP,14
INTERJECTIONS_PUNCTUATION,14
AND_ETC,14
YOUR_YOU_RE,14
PRP_MD_PRP_MD_COMMA,14
THE_ARE,14
COUD_T,14
THRU,13
ADJECTIVE_ADVERB,13
OTHER_OTHERS,13
PERS_PRONOUN_AGREEMENT,12
AUXILIARY_DO_WITH_INCORRECT_VERB_FORM,12
COMMA_COMPOUND_SENTENCE_3,12
COMMA_TAG_QUESTION,12
DT_DT,12
EVERY_WHERE,12
COMMA_PERIOD,12
A_MY,12
VERB_NOUN_CONFUSION,12
ADVERB_WORD_ORDER,12
DOWN_COMPOUNDS,12
BUNCH_OF,12
YO_TO,12
YEAR_OLD_HYPHEN,11
SOME_WHERE,11
ADVISE_VBG,11
WAN_T,11
SINGULAR_VERB_AFTER_THESE_OR_THOSE,11
IF_VB,11
HAVE_TWITTER,11
WORLD_WIDE,11
SUBJECT_VERB_AGREEMENT_PLURAL,11
CAPITALIZATION,10
HOUSE_COMPOUNDS,10
LOT_OF,10
EN_DIACRITICS_REPLACE,10
SOME_TIMES,10
APART_A_PART,10
